NAME,ETRS-X,ETRS-Y,ETRS-Z,STATION-P,STATION-Q,STATION-R,RCU-X,RCU-Y
L0,3801624.0604194775,-529030.1501214409,5077003.372914715,-6.735,12.449,0.0,0,1
L1,3801623.156214851,-529022.1391197687,5077004.907690008,1.427,13.304,0.0,2,3
L2,3801621.402771829,-529028.3702053287,5077005.549079371,-4.624,15.691,0.0,4,5
L3,3801620.494701803,-529021.5594553944,5077006.957990355,2.332,16.590999999999998,0.0,6,7
L4,3801646.257868807,-529007.2792624957,5076989.245047947,13.566,-15.892999999999999,0.0,8,9
L5,3801644.990124009,-529001.2500248001,5076990.838798535,19.78,-14.52,0.0,10,11
L6,3801652.798510613,-529008.4281808413,5076984.23601916,11.619,-23.98,0.0,12,13
L7,3801652.6979275024,-529003.502871749,5076984.839494415,16.582,-24.02,0.0,14,15
L8,3801619.65474614,-529033.3391716245,5077006.321810332,-9.407,18.029,0.0,16,17
L9,3801618.8934504706,-529040.3033025083,5077006.143442911,-16.315,19.208,0.0,18,19
L10,3801615.6818327536,-529041.0255180513,5077008.465011637,-16.652,23.221999999999998,0.0,20,21
L11,3801613.7180983396,-529037.8438229004,5077010.273200819,-13.216,25.555,0.0,22,23
L12,3801636.862167671,-529018.6154543279,5076995.047487771,3.309,-3.8409999999999997,0.0,24,25
L13,3801632.2987675644,-529018.2828461849,5076998.491973842,4.196,1.817,0.0,26,27
L14,3801632.073534833,-529014.9145690448,5076999.0215371745,7.609,1.984,0.0,28,29
L15,3801635.555589347,-529012.5789573228,5076996.671025263,9.535,-2.42,0.0,30,31
L16,3801629.7136383206,-529013.1316083346,5077000.975611778,9.687,4.856,0.0,32,33
L17,3801625.986494659,-529015.3634400802,5077003.520334982,7.895,9.561,0.0,34,35
L18,3801627.2314108717,-529006.781119357,5077003.511027649,16.371,7.726999999999999,0.0,36,37
L19,3801623.577451161,-529008.1744307632,5077006.091031865,15.413,12.313,0.0,38,39
L20,3801644.178274404,-529038.2576754929,5076987.475408072,-17.321,-12.272,0.0,40,41
L21,3801639.093291584,-529045.0324250113,5076990.547099899,-23.515,-5.728000000000001,0.0,42,43
L22,3801648.559862634,-529045.4020230422,5076983.436034027,-25.033,-17.476000000000003,0.0,44,45
L23,3801639.5744460723,-529050.6978104172,5076989.579953808,-29.268,-6.136,0.0,46,47
L24,3801629.0658411835,-529034.3083827608,5076999.187863539,-11.521,6.369999999999999,0.0,48,49
L25,3801625.829157557,-529035.5340266348,5077001.474153153,-12.361,10.432,0.0,50,51
L26,3801630.2336919876,-529038.21471358,5076997.89645809,-15.589,5.05,0.0,52,53
L27,3801629.7703422913,-529042.256893996,5076997.8089678455,-19.596,5.760999999999999,0.0,54,55
L28,3801650.2449894287,-529024.0962864995,5076984.462742875,-3.821,-20.283,0.0,56,57
L29,3801653.2855528444,-529022.8514937412,5076982.325006899,-2.938,-24.102,0.0,58,59
L30,3801651.961563638,-529032.7107772199,5076982.256400288,-12.688,-22.127000000000002,0.0,60,61
L31,3801656.592709577,-529030.6893727339,5076979.013825201,-11.217,-27.948,0.0,62,63
L32,3801628.1223553293,-529002.9838846978,5077003.252834085,20.08,6.492999999999999,0.0,64,65
L33,3801632.471847731,-528998.9350913557,5077000.438130136,23.623,0.954,0.0,66,67
L34,3801630.841910967,-528989.4138045723,5077002.677028109,33.391,2.66,0.0,68,69
L35,3801626.240890222,-528992.8213812988,5077005.748404504,30.523,8.49,0.0,70,71
L36,3801639.678476319,-529021.8018705442,5076992.6019290835,-0.235,-7.2330000000000005,0.0,72,73
L37,3801640.5372687764,-529016.1252635132,5076992.569354084,5.367,-8.49,0.0,74,75
L38,3801642.8550988515,-529022.1702448049,5076990.1895131385,-0.99,-11.167,0.0,76,77
L39,3801644.026540263,-529018.6854213631,5076989.688279063,2.371,-12.738999999999999,0.0,78,79
L40,3801613.448537932,-529024.0827411198,5077011.950718751,0.649,25.429,0.0,80,81
L41,3801615.8613112206,-529014.331038811,5077011.194475974,10.159,22.105,0.0,82,83
L42,3801609.1671177046,-529018.5041528655,5077015.747308527,6.775,30.561,0.0,84,85
L43,3801612.7586999116,-529008.7357724707,5077014.112298218,16.159,25.772,0.0,86,87
L44,3801637.476522954,-529027.8780769372,5076993.594964455,-6.076,-4.2940000000000005,0.0,88,89
L45,3801640.587829189,-529028.6900640154,5076991.183752416,-7.269,-8.132,0.0,90,91
L46,3801635.787048296,-529032.3017762424,5076994.38244959,-10.318,-2.047,0.0,92,93
L47,3801639.95299008,-529032.8205559698,5076991.214889543,-11.344,-7.205,0.0,94,95
L48,3801640.872661582,-529006.052812086,5076993.399297403,15.451,-9.244,0.0,96,97
L49,3801647.4452052154,-529032.600321321,5076985.641916363,-12.03,-16.52,0.0,98,99
L50,3801645.3740788316,-528996.2931970066,5076991.083710599,24.716,-15.163,0.0,100,101
L51,3801635.0320703574,-529000.1467496689,5076998.395698194,22.095,-2.186,0.0,102,103
L52,3801631.7644643122,-529047.2525141707,5076995.783498656,-24.859,3.451,0.0,104,105
L53,3801653.5324146794,-529040.4882514522,5076980.248698475,-20.696,-23.818,0.0,106,107
L54,3801637.658797412,-528993.1359398637,5076997.185617264,28.824,-5.684,0.0,108,109
L55,3801637.854281561,-529015.3760778479,5076994.653880035,6.445,-5.182,0.0,110,111
L56,3801610.822755677,-529030.3522757463,5077013.239610957,-5.335,28.901,0.0,112,113
L57,3801635.5690706214,-529041.9521934493,5076993.51007039,-19.992,-1.4529999999999998,0.0,114,115
L58,3801623.379372388,-529038.2098590777,5077003.017076146,-14.754,13.565000000000001,0.0,116,117
L59,3801658.688045175,-529021.1360873628,5076978.473420397,-1.868,-30.871000000000002,0.0,118,119
L60,3801645.948360583,-529029.0907795749,5076987.136512588,-8.321,-14.777999999999999,0.0,120,121
