NAME,ETRS-X,ETRS-Y,ETRS-Z,STATION-P,STATION-Q,STATION-R,RCU-X,RCU-Y
L0,3183314.573638722,1276764.828580725,5359440.157854074,-12.065860800000001,7.4438239,0.0,0,1
L1,3183309.2291095257,1276770.809443661,5359441.896062224,-5.424475900000001,12.265451,0.0,2,3
L2,3183311.2659657765,1276764.6368972927,5359442.154615732,-11.8585012,11.306659900000001,0.0,4,5
L3,3183306.6023527775,1276769.6356380263,5359443.72344547,-6.283943,15.563680300000001,0.0,6,7
L4,3183320.703638352,1276797.2404667903,5359428.87373038,19.6867501,-6.950980800000001,0.0,8,9
L5,3183316.1741728005,1276801.378637999,5359430.567001282,24.382381,-2.6546177,0.0,10,11
L6,3183327.00285696,1276800.3512014633,5359424.421502219,22.044411,-14.9272328,0.0,12,13
L7,3183324.111046786,1276804.3100015577,5359425.191045274,26.3624147,-12.4814804,0.0,14,15
L8,3183312.5882586394,1276759.4987597873,5359442.590028982,-17.169218100000002,10.9395276,0.0,16,17
L9,3183315.8979888908,1276753.3421845974,5359442.093851512,-23.7409785,8.5072674,0.0,18,19
L10,3183313.537452666,1276750.7641651938,5359444.09636636,-26.040330899999997,11.81504,0.0,20,21
L11,3183310.02977093,1276752.146145887,5359445.838847114,-24.2312089,15.5536251,0.0,22,23
L12,3183319.052226622,1276782.1701465852,5359433.4131703945,4.778168,-1.6422703,0.0,24,25
L13,3183314.9236240755,1276779.616983834,5359436.452904397,2.7172933999999995,3.7015839,0.0,26,27
L14,3183312.810113629,1276782.2273778012,5359437.082267277,5.5895068,5.5529539,0.0,28,29
L15,3183314.485008225,1276786.2897316848,5359435.1331110895,9.4597263,2.7018836,0.0,30,31
L16,3183309.7574429214,1276782.222060858,5359438.884497783,5.9528986,9.0792562,0.0,32,33
L17,3183307.8122722725,1276778.092838832,5359441.008926616,2.0482893,12.2575242,0.0,34,35
L18,3183303.997267259,1276785.8708301212,5359441.41962319,10.306555699999999,14.9072637,0.0,36,37
L19,3183301.6372366766,1276782.4710887794,5359443.61623324,7.183363000000001,18.399934399999996,0.0,38,39
L20,3183336.5569936605,1276770.6629321158,5359425.808192959,-8.872199499999999,-19.2586264,0.0,40,41
L21,3183336.0274502668,1276761.9847112538,5359428.173599257,-17.508185600000004,-16.688252,0.0,42,43
L22,3183344.4092351752,1276767.5420278283,5359421.913943092,-12.9493638,-27.6216195,0.0,44,45
L23,3183339.6698436863,1276757.656863998,5359427.048542349,-22.2868209,-19.9174453,0.0,46,47
L24,3183321.262661457,1276764.5326331242,5359436.281568301,-13.170494400000003,-0.21358990000000005,0.0,48,49
L25,3183319.1674977452,1276761.5281878058,5359438.228401256,-15.9293938,2.8839955,0.0,50,51
L26,3183324.4964100607,1276762.0668711348,5359434.957087349,-16.0330236,-3.3912129999999996,0.0,52,53
